locus,mf,condition,Growth rate (h-1)
b2665,0.0001930136485055543,Glucose,0.58
b1004,0.0007150100744234085,Glucose,0.58
b3706,9.299038126380941e-05,Glucose,0.58
b2517,6.017024670011202e-05,Glucose,0.58
b2501,3.149170054564301e-05,Glucose,0.58
b2422,0.00018754362607827077,Glucose,0.58
b3347,0.0010627472144435388,Glucose,0.58
b3401,0.0004962091773320922,Glucose,0.58
b1681,7.658031398196075e-05,Glucose,0.58
b0085,0.00017699429711136804,Glucose,0.58
b3620,4.8058054182556946e-05,Glucose,0.58
b2000,4.1025168204621775e-05,Glucose,0.58
b0526,0.0001863714784152823,Glucose,0.58
b0172,0.0007540816631897156,Glucose,0.58
b1718,0.0009220894948848327,Glucose,0.58
b3306,0.0020278154569713103,Glucose,0.58
b3590,2.1723803354066445e-05,Glucose,0.58
b1092,0.000711102915546778,Glucose,0.58
b3803,0.00016331924104316155,Glucose,0.58
b0134,0.00047276622407230895,Glucose,0.58
b0133,0.00026334250828490593,Glucose,0.58
b2947,0.00029459977929795054,Glucose,0.58
b2417,0.00394623046539696,Glucose,0.58
b3430,7.579888220663463e-05,Glucose,0.58
b4322,0.00011487047097294125,Glucose,0.58
b1901,8.048747285859137e-06,Glucose,0.58
b2169,7.736174575728681e-05,Glucose,0.58
b2092,0.00018207360365098813,Glucose,0.58
b1982,0.00014886275319962814,Glucose,0.58
b0104,0.0002774082802407759,Glucose,0.58
b2312,0.0002820968708927325,Glucose,0.58
b0480,0.00014339273077234457,Glucose,0.58
b3959,0.0011252617564696244,Glucose,0.58
b1693,0.0001566770709528886,Glucose,0.58
b3572,0.00016761711580745475,Glucose,0.58
b3939,0.0005157449717152456,Glucose,0.58
b3008,0.0005977953081244895,Glucose,0.58
b1764,0.00016839854758278068,Glucose,0.58
b2752,0.0002965533587362659,Glucose,0.58
b2762,0.0003371878110532248,Glucose,0.58
b2818,0.00010588400555669045,Glucose,0.58
b2022,0.0007306387099299314,Glucose,0.58
b0871,0.00010353971023071259,Glucose,0.58
b2239,4.336946353060019e-05,Glucose,0.58
b3735,0.0009650682425277714,Glucose,0.58
b0356,0.00014026700367103984,Glucose,0.58
nfnB,0.0002328666690471863,Glucose,0.58
rmlA,0.00013440626535609474,Glucose,0.58
b0145,0.0006642170090272104,Glucose,0.58
b1831,0.0003887623082247499,Glucose,0.58
b4401,0.0005938881492478587,Glucose,0.58
b2784,3.496907194584429e-05,Glucose,0.58
b1376,0.0001430020148846821,Glucose,0.58
b0607,0.0001211219251755498,Glucose,0.58
b3233,0.0005274664483451379,Glucose,0.58
b3764,0.00048058054182556937,Glucose,0.58
b2512,0.0002613889288465906,Glucose,0.58
b1449,0.0001613656616048462,Glucose,0.58
b4173,7.50174504313085e-05,Glucose,0.58
b1237,0.0022700593073224024,Glucose,0.58
b2669,0.0006837528034103639,Glucose,0.58
b1539,0.0003340620839519201,Glucose,0.58
b2595,0.0002473231568907197,Glucose,0.58
b4161,9.494396070212477e-05,Glucose,0.58
b1727,8.165962052158057e-05,Glucose,0.58
b2431,0.00010471185789370105,Glucose,0.58
b4214,0.0001613656616048462,Glucose,0.58
b3724,6.017024670011202e-05,Glucose,0.58
b3891,8.40039158475589e-05,Glucose,0.58
b0167,8.361319995989584e-05,Glucose,0.58
b1064,0.00042197315867610987,Glucose,0.58
b3363,0.00034109496992985557,Glucose,0.58
b1324,0.0028522259799403727,Glucose,0.58
b2989,0.0001613656616048462,Glucose,0.58
b1272,0.00010549328966902796,Glucose,0.58
b0381,3.5789575309936774e-05,Glucose,0.58
b3513,3.453928446941497e-06,Glucose,0.58
b0393,0.00012346622050152858,Glucose,0.58
b1712,0.00034382998114349683,Glucose,0.58
b1275,0.00012268478872620267,Glucose,0.58
b1827,0.0001062747214443539,Glucose,0.58
b0889,0.0007462673454364542,Glucose,0.58
b3983,0.001074468691073433,Glucose,0.58
b2185,0.0013948557189571388,Glucose,0.58
b3230,0.0008478534762288505,Glucose,0.58
b2316,0.0003586771848746937,Glucose,0.58
b2344,0.00014847203731196469,Glucose,0.58
b4160,0.0003774315474825203,Glucose,0.58
b1805,6.056096258777508e-05,Glucose,0.58
b3003,3.051491082648533e-05,Glucose,0.58
b0782,0.0003094469830291474,Glucose,0.58
b3843,8.791107472418961e-05,Glucose,0.58
b0678,0.0001062747214443539,Glucose,0.58
b3092,5.0011633620872295e-05,Glucose,0.58
b1198,0.00011369832330995184,Glucose,0.58
b1819,6.915671211636253e-05,Glucose,0.58
b4227,2.207544765296317e-05,Glucose,0.58
b1232,0.00047667338294893964,Glucose,0.58
b4213,6.173311025076429e-05,Glucose,0.58
b3958,0.0003985302054163266,Glucose,0.58
b2421,0.0003246849026480068,Glucose,0.58
b1127,7.618959809429769e-05,Glucose,0.58
b3591,5.938881492478588e-05,Glucose,0.58
b0800,0.00016253780926783466,Glucose,0.58
b2478,0.0007267315510533006,Glucose,0.58
b3540,7.50174504313085e-05,Glucose,0.58
b2988,8.40039158475589e-05,Glucose,0.58
b1680,0.00014612774198598588,Glucose,0.58
b1262,0.00025709105408229646,Glucose,0.58
b3541,8.517606351054811e-05,Glucose,0.58
b2285,9.025537005016802e-05,Glucose,0.58
b0801,0.00041025168204621783,Glucose,0.58
b1406,8.244105229690672e-05,Glucose,0.58
b3736,0.0010041398312940785,Glucose,0.58
b2552,4.2197315867610994e-05,Glucose,0.58
b4051,0.00019848367093283688,Glucose,0.58
b3705,0.0003356249475025729,Glucose,0.58
b3495,0.0039032517177540176,Glucose,0.58
b1221,0.00019223221673022835,Glucose,0.58
b0006,0.0001539420597392473,Glucose,0.58
b0426,0.001195590616248979,Glucose,0.58
b0471,0.0005352807660983993,Glucose,0.58
b1423,1.4065771955870329e-05,Glucose,0.58
b0949,7.267315510533006e-05,Glucose,0.58
b2186,0.0002039536933601195,Glucose,0.58
b2795,6.56402691273949e-05,Glucose,0.58
b3205,4.883948595788308e-05,Glucose,0.58
b3440,0.00010666543733201641,Glucose,0.58
b1967,0.00012698266349049585,Glucose,0.58
b3201,0.0002840504503310479,Glucose,0.58
b2210,5.704451959880745e-05,Glucose,0.58
b3146,7.775246164494988e-05,Glucose,0.58
b0897,0.0002820968708927325,Glucose,0.58
b3661,0.0003559421736610524,Glucose,0.58
b2521,0.0001641006728184875,Glucose,0.58
b1498,5.548165604815517e-06,Glucose,0.58
b3728,7.306387099299314e-05,Glucose,0.58
b0151,2.8912975687066798e-05,Glucose,0.58
b1710,0.0001535513438515848,Glucose,0.58
b2893,0.00023599239614849105,Glucose,0.58
b3860,0.0006212382613842737,Glucose,0.58
b1683,9.45532448144617e-05,Glucose,0.58
b1682,0.00011213545975929994,Glucose,0.58
b0838,9.611610836511369e-05,Glucose,0.58
b1635,0.00010158613079239724,Glucose,0.58
b1923,1.0158613079239724e-06,Glucose,0.58
b1677,0.0026373322417256847,Glucose,0.58
b0149,5.235592894685071e-05,Glucose,0.58
b0091,0.000151207048525606,Glucose,0.58
b0086,0.00016331924104316155,Glucose,0.58
b0741,0.002223173400802836,Glucose,0.58
b0082,8.439463173522208e-05,Glucose,0.58
b4052,7.032885977935164e-05,Glucose,0.58
b1413,3.059305400401802e-05,Glucose,0.58
b1749,0.00013206197003011593,Glucose,0.58
b0676,3.575050372117043e-05,Glucose,0.58
b4043,8.126890463391752e-05,Glucose,0.58
b1304,0.00015433277562691076,Glucose,0.58
b3288,0.00015823993450354143,Glucose,0.58
b3319,0.00301632665275886,Glucose,0.58
b3310,0.0006212382613842737,Glucose,0.58
b3294,0.0017113355879642199,Glucose,0.58
b3309,0.0036492863907730223,Glucose,0.58
b3321,0.00302414097051212,Glucose,0.58
b3298,0.0019887438682050034,Glucose,0.58
b0835,0.00010471185789370105,Glucose,0.58
b3845,0.00011252617564696244,Glucose,0.58
b1619,3.4187640170518155e-05,Glucose,0.58
b2342,6.798456445337332e-06,Glucose,0.58
b2341,1.207312092878873e-05,Glucose,0.58
